country,country isocode,year,grgdpch,party
United States,USA,1950,,-1
United States,USA,1951,4.197495248,-1
United States,USA,1952,1.146907051,-1
United States,USA,1953,2.823110497,1
United States,USA,1954,-2.661206483,1
United States,USA,1955,5.97679329,1
United States,USA,1956,0.238177771,1
United States,USA,1957,-0.421953917,1
United States,USA,1958,-2.875464284,1
United States,USA,1959,4.912147166,1
United States,USA,1960,0.85655232,1
United States,USA,1961,0.377737872,-1
United States,USA,1962,4.676379157,-1
United States,USA,1963,3.214516786,-1
United States,USA,1964,4.658073754,-1
United States,USA,1965,5.426897723,-1
United States,USA,1966,4.843130613,-1
United States,USA,1967,0.890068372,-1
United States,USA,1968,3.905992884,-1
United States,USA,1969,2.382669899,1
United States,USA,1970,-1.051890602,1
United States,USA,1971,2.903198367,1
United States,USA,1972,5.105985881,1
United States,USA,1973,5.569778185,1
United States,USA,1974,-0.668140299,1
United States,USA,1975,-2.719182749,1
United States,USA,1976,5.671948985,1
United States,USA,1977,4.913143781,-1
United States,USA,1978,5.014197969,-1
United States,USA,1979,2.529092184,-1
United States,USA,1980,-0.927849493,-1
United States,USA,1981,1.548944793,1
United States,USA,1982,-4.187134678,1
United States,USA,1983,3.394132429,1
United States,USA,1984,7.42292038,1
United States,USA,1985,2.459429734,1
United States,USA,1986,2.321696684,1
United States,USA,1987,2.727026325,1
United States,USA,1988,3.125755919,1
United States,USA,1989,2.622015126,1
United States,USA,1990,0.680682181,1
United States,USA,1991,-2.116199598,1
United States,USA,1992,2.281190419,1
United States,USA,1993,1.764433764,-1
United States,USA,1994,3.419900565,-1
United States,USA,1995,1.904422896,-1
United States,USA,1996,2.763408741,-1
United States,USA,1997,3.413151272,-1
United States,USA,1998,2.982133021,-1
United States,USA,1999,3.336186748,-1
United States,USA,2000,3.626403189,-1
