"cty","elec_sys","povred","enp","lnenp","maj","pr","unam"
"Australia","maj",42.16,2.38,0.8671,1,0,0
"Belgium","pr",78.79,7.01,1.94734,0,1,0
"Canada","maj",29.9,1.69,0.524729,1,0,0
"Denmark","pr",71.54,5.04,1.61741,0,1,0
"Finland","pr",69.08,5.14,1.63705,0,1,0
"France","maj",57.91,2.68,0.985817,1,0,0
"Germany","maj",46.9,3.16,1.15057,1,0,0
"Italy","pr",42.81,4.11,1.41342,0,1,0
"Netherlands","pr",66.93,3.49,1.2499,0,1,0
"Norway","pr",67.17,3.09,1.12817,0,1,0
"Sweden","pr",64.48,3.39,1.22083,0,1,0
"Switzerland","unam",13.02,5.26,1.66013,0,0,1
"United Kingdom","maj",48.66,2.09,0.737164,1,0,0
"United States","maj",12.1,1.95,0.667829,1,0,0
