"cty","povred","enp","lnenp","maj","pr","unam"
"Australia",42.16,2.38,0.8671,1,0,0
"Belgium",78.79,7.01,1.94734,0,1,0
"Canada",29.9,1.69,0.524729,1,0,0
"Denmark",71.54,5.04,1.61741,0,1,0
"Finland",69.08,5.14,1.63705,0,1,0
"France",57.91,2.68,0.985817,1,0,0
"Germany",46.9,3.16,1.15057,1,0,0
"Italy",42.81,4.11,1.41342,0,1,0
"Netherlands",66.93,3.49,1.2499,0,1,0
"Norway",67.17,3.09,1.12817,0,1,0
"Sweden",64.48,3.39,1.22083,0,1,0
"Switzerland",13.02,5.26,1.66013,0,0,1
"United Kingdom",48.66,2.09,0.737164,1,0,0
"United States",12.1,1.95,0.667829,1,0,0
